Customer_ID,First_Purchase,Last_Purchase,Purchase_Count,Total_Spend,Days_as_Customer,Purchase_Frequency,Avg_Order_Value,Weekly_Value,CLV_1Year
C0001,2023-01-23,2023-11-16,9,262.46000000000004,298,0.21140939597315436,29.162222222222226,6.1651677852349005,320.58872483221484
C0002,2023-04-15,2023-12-16,5,229.32,246,0.14227642276422764,45.864,6.525365853658536,339.31902439024384
C0003,2023-03-03,2023-10-01,7,154.37,213,0.23004694835680753,22.052857142857142,5.073192488262911,263.8060093896714
C0004,2023-04-06,2023-11-13,13,372.91,222,0.4099099099099099,28.685384615384617,11.758423423423423,611.438018018018
C0005,2023-01-27,2023-11-19,11,377.39,297,0.25925925925925924,34.308181818181815,8.894713804713803,462.52511784511773
C0006,2023-03-26,2023-12-16,7,301.64,266,0.18421052631578946,43.09142857142857,7.937894736842105,412.7705263157894
C0007,2023-01-05,2023-12-26,10,382.34,356,0.19662921348314608,38.233999999999995,7.517921348314606,390.9319101123595
C0008,2023-01-03,2023-12-22,14,467.58,354,0.2768361581920904,33.39857142857143,9.245932203389831,480.7884745762712
C0009,2023-01-05,2023-12-22,8,218.65,352,0.1590909090909091,27.33125,4.3481534090909095,226.1039772727273
C0010,2023-01-24,2023-12-08,11,431.72,319,0.2413793103448276,39.24727272727273,9.473479623824453,492.62094043887157
C0011,2023-03-11,2023-12-15,8,217.25,280,0.2,27.15625,5.43125,282.425
C0012,2023-03-08,2023-12-08,18,603.18,276,0.45652173913043476,33.51,15.298043478260867,795.4982608695651
C0013,2023-01-10,2023-12-19,9,304.86,344,0.18313953488372092,33.873333333333335,6.203546511627907,322.5844186046512
C0014,2023-01-25,2023-10-20,7,147.46,269,0.1821561338289963,21.065714285714286,3.8372490706319704,199.53695167286247
C0015,2023-02-23,2023-12-11,8,219.03,292,0.1917808219178082,27.37875,5.250719178082192,273.03739726027396
C0016,2023-04-04,2023-12-21,5,91.28999999999999,262,0.13358778625954199,18.258,2.4390458015267176,126.83038167938932
C0017,2023-03-12,2023-11-25,8,233.45,259,0.21621621621621623,29.18125,6.309459459459459,328.09189189189186
C0018,2023-02-06,2023-12-21,11,334.02000000000004,319,0.2413793103448276,30.36545454545455,7.3295924764890295,381.1388087774295
C0019,2023-03-16,2023-12-16,10,383.6,276,0.25362318840579706,38.36,9.728985507246374,505.9072463768115
C0020,2023-01-23,2023-12-06,12,352.42,318,0.2641509433962264,29.368333333333336,7.757672955974844,403.39899371069185
C0021,2023-06-19,2023-12-23,2,78.9,188,0.07446808510638298,39.45,2.9377659574468087,152.76382978723404
C0022,2023-02-20,2023-10-09,8,240.19,232,0.24137931034482757,30.02375,7.247112068965516,376.84982758620686
C0023,2023-01-16,2023-11-28,12,298.95,317,0.26498422712933756,24.912499999999998,6.601419558359622,343.2738170347003
C0024,2023-04-03,2023-12-23,10,298.8,265,0.2641509433962264,29.880000000000003,7.892830188679246,410.42716981132077
C0025,2023-02-21,2023-11-07,11,364.95,260,0.29615384615384616,33.17727272727273,9.825576923076923,510.93
C0026,2023-01-29,2023-12-26,20,625.84,332,0.4216867469879518,31.292,13.195421686746988,686.1619277108433
C0027,2023-01-04,2023-12-31,10,307.24,362,0.19337016574585636,30.724,5.941104972375691,308.9374585635359
C0028,2023-02-06,2023-10-31,9,248.62,268,0.23507462686567165,27.624444444444446,6.493805970149254,337.67791044776123
C0029,2023-02-13,2023-11-10,14,527.07,271,0.36162361623616235,37.64785714285715,13.614354243542437,707.9464206642067
C0030,2023-02-24,2023-10-10,6,238.46,229,0.1834061135371179,39.74333333333333,7.289170305676855,379.0368558951965
C0031,2023-01-31,2023-12-27,7,143.33,331,0.14803625377643506,20.475714285714286,3.031148036253777,157.6196978851964
C0032,2023-04-25,2023-12-31,8,198.91,251,0.22310756972111556,24.86375,5.547290836653387,288.4591235059761
C0033,2023-01-16,2023-12-20,11,380.56,339,0.2271386430678466,34.596363636363634,7.858171091445427,408.6248967551622
C0034,2023-01-03,2023-12-22,9,302.07,354,0.17796610169491525,33.56333333333333,5.973135593220339,310.6030508474576
C0035,2023-01-22,2023-12-20,8,121.24,333,0.16816816816816818,15.155,2.5485885885885886,132.5266066066066
C0036,2023-03-12,2023-11-09,11,376.25,243,0.3168724279835391,34.20454545454545,10.838477366255143,563.6008230452675
C0037,2023-01-05,2023-09-27,8,223.23000000000002,266,0.21052631578947367,27.903750000000002,5.8744736842105265,305.47263157894736
C0038,2023-03-05,2023-11-25,10,212.85999999999999,266,0.2631578947368421,21.285999999999998,5.60157894736842,291.28210526315786
C0039,2023-01-24,2023-12-23,10,252.92000000000002,334,0.20958083832335328,25.292,5.300718562874252,275.6373652694611
C0040,2023-01-20,2023-10-05,4,73.24000000000001,259,0.10810810810810811,18.310000000000002,1.97945945945946,102.93189189189191
C0041,2023-01-06,2023-12-29,13,365.97,358,0.2541899441340782,28.151538461538465,7.155837988826816,372.1035754189944
C0042,2023-01-04,2023-12-24,10,282.35,355,0.19718309859154928,28.235000000000003,5.567464788732394,289.5081690140845
C0043,2023-01-02,2023-12-27,12,459.05,360,0.23333333333333334,38.25416666666667,8.925972222222223,464.15055555555557
C0044,2023-01-21,2023-10-01,9,353.19,254,0.24803149606299213,39.24333333333333,9.733582677165355,506.1462992125985
C0045,2023-01-10,2023-12-23,14,424.68,348,0.28160919540229884,30.334285714285716,8.54241379310345,444.20551724137937
C0046,2023-01-03,2023-12-28,11,468.0,360,0.21388888888888888,42.54545454545455,9.1,473.2
C0047,2023-01-01,2023-12-20,10,358.06,354,0.1977401129943503,35.806,7.080282485875706,368.1746892655367
C0048,2023-03-02,2023-12-05,10,394.92,279,0.2508960573476703,39.492000000000004,9.908387096774197,515.2361290322582
C0049,2023-02-25,2023-12-03,12,480.59999999999997,282,0.2978723404255319,40.05,11.929787234042552,620.3489361702127
C0050,2023-04-24,2023-12-26,5,284.78,247,0.1417004048582996,56.955999999999996,8.070688259109312,419.67578947368423
C0051,2023-02-11,2023-12-31,8,232.98,324,0.1728395061728395,29.1225,5.033518518518518,261.7429629629629
C0052,2023-02-17,2023-12-29,8,338.67,316,0.17721518987341772,42.33375,7.502183544303798,390.1135443037975
C0053,2023-02-09,2023-12-05,9,230.95000000000002,300,0.21000000000000002,25.66111111111111,5.388833333333334,280.2193333333334
C0054,2023-01-13,2023-10-14,9,387.12,275,0.2290909090909091,43.013333333333335,9.853963636363638,512.4061090909091
C0055,2023-01-11,2023-12-21,9,246.14,345,0.1826086956521739,27.348888888888887,4.994144927536231,259.69553623188403
C0056,2023-05-04,2023-11-29,12,295.58,210,0.4,24.631666666666664,9.852666666666666,512.3386666666667
C0057,2023-01-19,2023-11-24,15,507.49,310,0.33870967741935487,33.83266666666667,11.459451612903228,595.8914838709678
C0058,2023-01-03,2023-09-21,9,364.94,262,0.24045801526717556,40.54888888888889,9.75030534351145,507.0158778625954
C0059,2023-01-08,2023-11-05,8,215.84,302,0.18543046357615892,26.98,5.002913907284768,260.1515231788079
C0060,2023-03-13,2023-09-27,7,301.63,199,0.24623115577889448,43.089999999999996,10.610100502512562,551.7252261306533
C0061,2023-01-04,2023-11-17,9,299.5,318,0.1981132075471698,33.27777777777778,6.592767295597484,342.82389937106916
C0062,2023-01-15,2023-11-26,13,360.32,316,0.2879746835443038,27.716923076923077,7.981772151898734,415.05215189873417
C0063,2023-02-21,2023-12-15,13,428.15999999999997,298,0.3053691275167785,32.93538461538461,10.05744966442953,522.9873825503356
C0064,2023-01-06,2023-08-29,6,214.14,236,0.17796610169491525,35.69,6.351610169491525,330.28372881355926
C0065,2023-03-11,2023-10-13,8,272.72,217,0.25806451612903225,34.09,8.797419354838711,457.465806451613
C0066,2023-02-10,2023-10-29,15,361.70000000000005,262,0.40076335877862596,24.113333333333337,9.663740458015269,502.514503816794
C0067,2023-01-28,2023-12-31,8,133.36,338,0.16568047337278108,16.67,2.761893491124261,143.61846153846156
C0068,2023-01-15,2023-12-19,9,287.57,339,0.18584070796460175,31.952222222222222,5.938023598820059,308.77722713864307
C0069,2023-01-18,2023-11-19,17,485.32,306,0.3888888888888889,28.548235294117646,11.102091503267973,577.3087581699345
C0070,2023-02-25,2023-12-24,15,626.9399999999999,303,0.34653465346534656,41.796,14.483762376237625,753.1556435643565
C0071,2023-01-10,2023-12-19,7,251.82000000000002,344,0.14244186046511628,35.97428571428572,5.124244186046512,266.46069767441867
C0072,2023-04-01,2023-12-16,6,186.32,260,0.16153846153846152,31.05333333333333,5.0163076923076915,260.84799999999996
C0073,2023-05-30,2023-12-23,9,261.21999999999997,208,0.30288461538461536,29.02444444444444,8.79105769230769,457.13499999999993
C0074,2023-02-26,2023-12-16,9,340.69,294,0.21428571428571427,37.85444444444445,8.111666666666666,421.8066666666667
C0075,2023-01-14,2023-12-24,16,470.49,345,0.3246376811594203,29.405625,9.546173913043479,496.4010434782609
C0076,2023-01-21,2023-12-07,8,165.22,321,0.17445482866043616,20.6525,3.6029283489096575,187.3522741433022
C0077,2023-06-19,2023-11-08,5,162.28,143,0.24475524475524477,32.456,7.943776223776225,413.0763636363637
C0078,2023-01-17,2023-12-10,13,554.22,328,0.2774390243902439,42.63230769230769,11.827865853658537,615.0490243902439
C0079,2023-02-01,2023-10-13,6,96.67,255,0.16470588235294117,16.111666666666668,2.653686274509804,137.99168627450982
C0080,2023-02-09,2023-10-15,8,289.6,249,0.22489959839357432,36.2,8.141365461847391,423.35100401606434
C0081,2023-06-09,2023-09-23,7,345.03,107,0.45794392523364486,49.29,22.572056074766355,1173.7469158878505
C0082,2023-01-16,2023-11-28,17,504.48,317,0.3753943217665615,29.67529411764706,11.13993690851735,579.2767192429022
C0083,2023-01-10,2023-10-05,4,128.31,269,0.104089219330855,32.0775,3.3389219330855013,173.62394052044607
C0084,2023-01-20,2023-12-03,10,253.34,318,0.220125786163522,25.334,5.576666666666666,289.9866666666666
